Ref,Val,Package,PosX,PosY,Rot,Side
"C1","14pF","C_0201_0603Metric",27.500000,53.000000,-90.000000,top
"C2","14pF","C_0201_0603Metric",17.000000,52.500000,90.000000,top
"C3","1.0 uF +/- 20%","C_0201_0603Metric",18.500000,37.500000,0.000000,top
"C4","1.0 uF +/- 20%","C_0201_0603Metric",16.850000,50.695000,90.000000,top
"C5","1 uF","C_0201_0603Metric",25.900000,60.695000,-90.000000,top
"C6","22 uF","C_1206_3216Metric",35.200000,59.800000,0.000000,top
"C7","1uF","C_1206_3216Metric",27.200000,64.800000,0.000000,top
"C8","4.7 uF","C_1206_3216Metric",27.225000,67.250000,180.000000,top
"IC1","USB2244I-AEZG-06-TR","QFN50P600X600X90-37N-D",18.000000,43.500000,0.000000,top
"IC2","ADPL16000AATA+T","ADPL16000AATAT",28.750000,61.438000,-90.000000,top
"J1","1871058-1","18710581",34.000000,18.000000,180.000000,top
"J2","USB_C_Receptacle","USB_C_Receptacle_Molex_105450-0101",13.250000,64.915000,180.000000,top
"L1","47 muH","74404054470",34.950000,64.600000,180.000000,top
"R1","5k1","R_0201_0603Metric",15.845000,57.000000,0.000000,top
"R2","5k1","R_0201_0603Metric",9.345000,57.000000,0.000000,top
"R3","12k +/-1%","R_0201_0603Metric",16.150000,48.745000,90.000000,top
"R4","1k","R_0201_0603Metric",23.130000,48.150000,0.000000,top
"R5","1k","R_0201_0603Metric",41.600000,18.450000,0.000000,top
"R6","33","R_0201_0603Metric",24.380000,44.500000,180.000000,top
"R7","33","R_0201_0603Metric",22.700000,43.550000,180.000000,top
"R8","33","R_0201_0603Metric",16.500000,38.500000,90.000000,top
"R9","33","R_0201_0603Metric",12.850000,40.845000,-90.000000,top
"R10","33","R_0201_0603Metric",11.250000,42.600000,-90.000000,top
"R11","33","R_0201_0603Metric",9.250000,42.600000,-90.000000,top
"Y1","830108208209","830108208209",22.175000,53.613000,180.000000,top
