Id;Designator;Footprint;Quantity;Designation;Supplier and ref;;
1;R13,R12,R15,R11,R14,R16;R_0201_0603Metric;6;33;;;
3;C3;C_0201_0603Metric;1;10nF;;;
4;J7,J5,J6,J3;USB_A_Molex_67643_Horizontal;4;USB_A;;;
5;J2;SDCARD_MOLEX_503398-1892;1;Micro_SD_Card;;;
6;J11;JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical;1;Reset;;;
7;C7,C5;C_1206_3216Metric;2;47uF;;;
8;J10;SJ335083BTR;1;SJ3-35083B-TR;;;
9;J16,J15;DF40C100DS04V51;2;DF40C100DS04V51;;;
10;J8;PJ114AHSMTTR;1;PJ-114AH-SMT-TR;;;
11;R7,R4;R_0201_0603Metric;2;220;;;
12;Y1;830108208209;1;830108208209;;;
13;R1;R_0201_0603Metric;1;1k;;;
14;J13;JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical;1;Quit;;;
16;R5,R8;R_0201_0603Metric;2;100;;;
17;IC2;SOT65P210X110-6N;1;NC7WZ16P6X;;;
18;R6,R9;R_0201_0603Metric;2;1.8k;;;
20;D1;LED_0201_0603Metric;1;GREEN;;;
21;C6,C4;C_0201_0603Metric;2;100nF;;;
23;R10;R_0201_0603Metric;1;10k;;;
24;J12;JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical;1;Shutdown;;;
25;C1,C2;C_0201_0603Metric;2;14pF;;;
26;TP5;TestPoint_Pad_D3.0mm;1;GND_SUPPLY;;;
27;J1;PinHeader_1x03_P2.54mm_Vertical;1;Conn_01x03_Socket;;;
28;J9;18710581;1;1871058-1;;;
29;J4;HDMI_A_Molex_208658-1001_Horizontal;1;HDMI_A_1.4;;;
30;Q1;IRF2804STRLPBF;1;IRLZ34NSTRLPBF;;;
31;J14;JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical;1;Keys;;;
33;R2;R_0201_0603Metric;1;100k;;;
34;R3;R_0201_0603Metric;1;12k (+/- 1%);;;
35;IC1;QFN50P600X600X100-37N-D;1;USB2514B_M2;;;
